www.sandmountainreporter.com,"Sand Mountain Reporter",Albertville
www.andalusiastarnews.com,"Andalusia Star-News",Andalusia
www.annistonstar.com,"Piedmont Journal",Piedmont
www.arab-today.com,"Arab Today",Arab
www.thearabtribune.com,"Arab Tribune",Arab
www.enewscourier.com,"Athens News Courier",Athens
www.atmoreadvance.com,"Atmore Advance",Atmore
www.atmorenews.com,"Atmore News",Atmore
theplainsman.com,"Auburn Plainsman",Auburn
www.alabamamessenger.com,"Alabama Messenger",Birmingham
www.al.com,Press-Register,Mobile
www.birminghamtimes.com,"Birmingham Times",Birmingham
www.bwcitypaper.com,"Black and White",Birmingham
www.bizjournals.com,"Business Journal",Milwaukee
www.otmj.com,"Over the Mountain Journal",Birmingham
www.brewtonstandard.com,"Brewton Standard",Brewton
pcherald.com,"Pickens County Herald",Carrollton
www.northwestgeorgianews.com,"Rome News-Tribune",Rome
www.epostpaper.com,"Post Online",Centre
www.chipleypaper.com,"Holmes County Times Advertiser",Bonifay
www.thecallnews.com,"Call News",Citronelle
www.clantonadvertiser.com,"Clanton Advertiser",Clanton
www.theclaytonrecordonline.com,"Clayton Record",Clayton
www.shelbycountyreporter.com,"Shelby County Reporter",Columbiana
www.cullmantimes.com,"Cullman Times",Cullman
www.cullmansense.com,CullmanSense,Cullman
www.alexcityoutlook.com,"Dadeville Record",Dadeville
www.southeastsun.com,"Southeast Sun ",Enterprise
www.decaturdaily.com,"Decatur Daily",Decatur
www.demopolistimes.com,"Demopolis Times",Demopolis
www.dothaneagle.com,"Eufaula Tribune",Eufaula
www.elba-clipper.com,"Elba Clipper",Elba
greenecountydemocrat.com,"Greene County Democrat",Eutaw
www.mytrpaper.com,Times-Record,Fayette
www.courierjournal.net,"Courier Journal",Florence
www.timesdaily.com,"Times Daily",Florence
gadsdenmessenger.com,"Gadsden Messenger",Gadsden
www.gadsdentimes.com,"Gadsden Times",Gadsden
www.njeffersonnews.com,"North Jefferson News",Gardendale
www.oppnewsonline.com,"Opp News",Opp
www.choctawsun.com,"Choctaw Sun",Gilbertown
www.greenvilleadvocate.com,"Luverne Journal",Luverne
www.advertisergleam.com,Advertiser-Gleam,Guntersville
www.mynwapaper.com,"Northwest Alabamian",Haleyville
