www.sandmountainreporter.com,"Sand Mountain Reporter",Albertville,news
www.andalusiastarnews.com,"Andalusia Star-News",Andalusia,news
www.annistonstar.com,"Piedmont Journal",Piedmont,news
www.arab-today.com,"Arab Today",Arab,news
www.thearabtribune.com,"Arab Tribune",Arab,news
www.enewscourier.com,"Athens News Courier",Athens,news
www.atmoreadvance.com,"Atmore Advance",Atmore,news
www.atmorenews.com,"Atmore News",Atmore,news
theplainsman.com,"Auburn Plainsman",Auburn,news
www.alabamamessenger.com,"Alabama Messenger",Birmingham,news
www.al.com,Press-Register,Mobile,news
www.birminghamtimes.com,"Birmingham Times",Birmingham,news
www.bwcitypaper.com,"Black and White",Birmingham,news
www.bizjournals.com,"Business Journal",Milwaukee,news
www.otmj.com,"Over the Mountain Journal",Birmingham,news
www.brewtonstandard.com,"Brewton Standard",Brewton,news
pcherald.com,"Pickens County Herald",Carrollton,news
www.northwestgeorgianews.com,"Rome News-Tribune",Rome,news
www.epostpaper.com,"Post Online",Centre,news
www.chipleypaper.com,"Holmes County Times Advertiser",Bonifay,news
www.thecallnews.com,"Call News",Citronelle,news
www.clantonadvertiser.com,"Clanton Advertiser",Clanton,news
www.theclaytonrecordonline.com,"Clayton Record",Clayton,news
www.shelbycountyreporter.com,"Shelby County Reporter",Columbiana,news
www.cullmantimes.com,"Cullman Times",Cullman,news
www.cullmansense.com,CullmanSense,Cullman,news
www.alexcityoutlook.com,"Dadeville Record",Dadeville,news
www.southeastsun.com,"Southeast Sun ",Enterprise,news
www.decaturdaily.com,"Decatur Daily",Decatur,news
www.demopolistimes.com,"Demopolis Times",Demopolis,news
www.dothaneagle.com,"Eufaula Tribune",Eufaula,news
www.elba-clipper.com,"Elba Clipper",Elba,news
greenecountydemocrat.com,"Greene County Democrat",Eutaw,news
www.mytrpaper.com,Times-Record,Fayette,news
www.courierjournal.net,"Courier Journal",Florence,news
www.timesdaily.com,"Times Daily",Florence,news
gadsdenmessenger.com,"Gadsden Messenger",Gadsden,news
www.gadsdentimes.com,"Gadsden Times",Gadsden,news
www.njeffersonnews.com,"North Jefferson News",Gardendale,news
www.oppnewsonline.com,"Opp News",Opp,news
www.choctawsun.com,"Choctaw Sun",Gilbertown,news
www.greenvilleadvocate.com,"Luverne Journal",Luverne,news
www.advertisergleam.com,Advertiser-Gleam,Guntersville,news
www.mynwapaper.com,"Northwest Alabamian",Haleyville,news
www.hartselleenquirer.com,"Hartselle Enquirer",Hartselle,news
www.speakinoutweeklynews.com,"Speakin' Out News",Huntsville,news
www.valleyplanet.com,"Valley Planet",Huntsville,news
www.southalabamian.com,"South Alabamian",Jackson,news
jacksonville.com,"Florida Times-Union",Jacksonville,news
